,Smart Card,Recommended_Collaborative_Filtering
620,200003647794,"BED, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, SHOE CARE"
621,200004651378,"FROZEN NON VEG, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, KITCHEN, LAB, OTHER RTD, PICKLE/CHUTNEY, READY TO EAT, SERVE/TABLE WARE"
622,200004651466,"FASHION CONC, GLASS WARE, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, SERVE/TABLE WARE"
623,200004651624,"BATH, CERAMIC WARE, GLASS WARE, GLUCOSE & ENERGY, KITCHEN, MEAT, MEN'S INNERWEAR, MILK FOOD, TEA BAGS"
624,200004652678,"COOKWARE METAL, FASHION CONC, KIDS BOYS BWEAR, MELAMINE WARE, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTC FOOD, OTHER RTD, SYRUPS & CONCENTRATE"
625,200004653570,"CERAMIC WARE, FASHION CONC, FURNISHING, MELAMINE WARE, MILK FOOD, PACKD DRINKING WATER, READY TO EAT, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
626,200004656683,"ALLNCE & MISC INCOME, BED, DISINFECTANT AND MUL, ELECTRICAL EQUIPMENT, KITCHEN, MEN'S TOPWEAR, OTC, SHOE CARE, SPORT"
627,200004658292,"BABY NEEDS, BED, CERAMIC WARE, FROZEN NON VEG, INDIAN WEAR TOPS, KIDS BOYS BWEAR, MEN'S INNERWEAR, POULTRY, SERVE/TABLE WARE"
628,200004659264,"ALLNCE & MISC INCOME, DESSERT, DISINFECTANT AND MUL, FOOT WEAR CONC, KITCHEN TOOLS METAL, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PICKLE/CHUTNEY, TOOLS AND CAR CARE"
629,200004659653,"ALLNCE & MISC INCOME, CERAMIC WARE, FURNISHING, KID'S BOYS TOP WEAR, MEN'S TOPWEAR, MILK FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT"
630,200004659662,"BATH, BED, FASHION CONC, GIFT CARD & VOUCHERS, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MELAMINE WARE"
631,200004880749,"BED, BROWN SPIRITS, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MELAMINE WARE, PICKLE/CHUTNEY, SPORT, TOOLS AND CAR CARE"
632,200004902360,"BATH, EGG, INDIAN WEAR TOPS, KITCHEN APPLIANCES, MEN'S BOTTOMWEAR, MEN'S INNERWEAR, OTHER RTD, PACKD DRINKING WATER, READY TO EAT"
633,200004903226,"BATH, FROZEN NON VEG, FROZEN VEG, KITCHEN, LAB, MEN'S BOTTOMWEAR, OTHER RTD, SERVE/TABLE WARE, SHOE CARE"
634,200004903387,"ALLNCE & MISC INCOME, BATHROOM AIDS, DISINFECTANT AND MUL, GLASS WARE, KIDS BOYS BWEAR, LAB, OTHER RTD, READY TO EAT, SHOE CARE"
635,200004906463,"ALLNCE & MISC INCOME, BED, EGG, FOOT WEAR CONC, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S TOPWEAR, TEA BAGS"
636,200004906764,"BED, BROWN SPIRITS, FROZEN NON VEG, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD, READY TO EAT, SERVE/TABLE WARE"
637,200004907675,"BATH, CERAMIC WARE, KID'S BOYS TOP WEAR, LAB, MEN'S TOPWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT, SHOE CARE"
638,200004907879,"BATH, FASHION CONC, FROZEN VEG, FURNISHING, GLASS WARE, KITCHEN, MEN'S BOTTOMWEAR, MILK FOOD, OTHER RTD"
639,200004907967,"BATH, BED, EGG, ELECTRICAL EQUIPMENT, KITCHEN, OTC, READY TO EAT, SHOE CARE, STATIONERY"
640,200004908902,"ALLNCE & MISC INCOME, BATH, COLOUR COSMETICS, GIFT CARD & VOUCHERS, LAB, MEN'S TOPWEAR, MILK FOOD, OTHER RTD, READY TO EAT"
641,200004912288,"FASHION CONC, FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, KITCHEN, OTC FOOD, PACKD DRINKING WATER, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
642,200004914569,"BATH, DESSERT, FISH, FURNISHING, GLASS WARE, MELAMINE WARE, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
643,200004918006,"ALLNCE & MISC INCOME, FOOT WEAR CONC, FURNISHING, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, PICKLE/CHUTNEY, SERVE/TABLE WARE"
644,200004918990,"BATH, FROZEN NON VEG, FROZEN VEG, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, OTHER RTD, READY TO EAT"
645,200004919865,"BED, FROZEN NON VEG, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, MEN'S TOPWEAR, PICKLE/CHUTNEY, READY TO EAT, SERVE/TABLE WARE, TEA BAGS"
646,200004920269,"EGG, FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT"
647,200005069936,"COOKWARE METAL, FROZEN VEG, GIFT CARD & VOUCHERS, GLASS WARE, KID'S BOYS TOP WEAR, KITCHEN APPLIANCES, MELAMINE WARE, MILK FOOD, OTHER RTD"
648,200005069954,"BATH, FURNISHING, GIFT CARD & VOUCHERS, INDIAN WEAR TOPS, KITCHEN, LAB, OTHER RTD, READY TO EAT, SHOE CARE"
649,200005070297,"BED, COLOUR COSMETICS, FROZEN NON VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MELAMINE WARE, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE"
650,200005070312,"EGG, ELECTRICAL EQUIPMENT, FROZEN, FURNISHING, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, SYRUPS & CONCENTRATE"
651,200005070783,"BATH, FASHION CONC, FROZEN NON VEG, FURNISHING, KITCHEN APPLIANCES, MELAMINE WARE, PACKD DRINKING WATER, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
652,200005071241,"GLASS WARE, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KITCHEN, MEAT, MEN'S INNERWEAR, OTHER RTD, SERVE/TABLE WARE, SPORT"
653,200005071409,"BATHROOM AIDS, GLUCOSE & ENERGY, KIDS BOYS BWEAR, LAB, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD, PICKLE/CHUTNEY, SERVE/TABLE WARE"
654,200005071630,"ALLNCE & MISC INCOME, BATHROOM AIDS, COLOUR COSMETICS, DISINFECTANT AND MUL, FURNISHING, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD, READY TO EAT"
655,200005072550,"BATHROOM AIDS, COLOUR COSMETICS, FASHION CONC, FURNISHING, GIFT CARD & VOUCHERS, MEN'S TOPWEAR, OTHER RTD, PACKD DRINKING WATER, READY TO EAT"
656,200005072781,"BROWN SPIRITS, FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, KITCHEN, MILK FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, SERVE/TABLE WARE"
657,200005072930,"BATH, FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, MELAMINE WARE, MEN'S TOPWEAR, OTC FOOD, SERVE/TABLE WARE, TEA BAGS"
658,200005075991,"COLOUR COSMETICS, EGG, FASHION CONC, FOOT WEAR CONC, FROZEN NON VEG, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, SYRUPS & CONCENTRATE"
659,200005076228,"BATHROOM AIDS, BED, KIDS BOYS BWEAR, KITCHEN, KITCHEN TOOLS METAL, MELAMINE WARE, MEN'S INNERWEAR, OTHER RTD, SYRUPS & CONCENTRATE"
660,200005076370,"FASHION CONC, FROZEN NON VEG, FURNISHING, GLASS WARE, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KITCHEN, SERVE/TABLE WARE, SHOE CARE"
661,200005077111,"COOKWARE METAL, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, KITCHEN APPLIANCES, MELAMINE WARE, OTC FOOD, PICKLE/CHUTNEY, READY TO FRY, SPORT"
662,200005077351,"BED, FASHION CONC, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, OTHER RTD, SYRUPS & CONCENTRATE"
663,200005077528,"FASHION CONC, FURNISHING, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MEN'S BOTTOMWEAR, SERVE/TABLE WARE"
664,200005078217,"BATHROOM AIDS, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, OTHER RTD, READY TO EAT, SERVE/TABLE WARE"
665,200005078299,"ALLNCE & MISC INCOME, CERAMIC WARE, COOKWARE METAL, FROZEN NON VEG, FURNISHING, LAB, PACKD DRINKING WATER, PICKLE/CHUTNEY, SHOE CARE"
666,200005079076,"ALLNCE & MISC INCOME, GIFT CARD & VOUCHERS, KITCHEN, KITCHEN APPLIANCES, MEN'S INNERWEAR, OTHER RTD, PICKLE/CHUTNEY, READY TO EAT, SPORT"
667,200005079456,"BATH, FASHION CONC, FROZEN NON VEG, FURNISHING, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KITCHEN, PACKD DRINKING WATER, READY TO EAT"
668,200005080230,"BATHROOM AIDS, ELECTRICAL EQUIPMENT, FASHION CONC, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MILK FOOD, PACKD DRINKING WATER"
669,200005080258,"BATH, CERAMIC WARE, FROZEN NON VEG, GLASS WARE, INDIAN WEAR TOPS, KITCHEN, LAB, READY TO EAT, SHOE CARE"
670,200005080708,"BATHROOM AIDS, COOKWARE METAL, FASHION CONC, GIFT CARD & VOUCHERS, KITCHEN APPLIANCES, MEN'S BOTTOMWEAR, OTHER RTD, PACKD DRINKING WATER, SYRUPS & CONCENTRATE"
671,200005172151,"BATH, BED, GLUCOSE & ENERGY, KIDS BOYS BWEAR, OTC, PICKLE/CHUTNEY, READY TO EAT, SHOE CARE, TOOLS AND CAR CARE"
672,200005175574,"BATH, CERAMIC WARE, FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, KITCHEN, MILK FOOD, PACKD DRINKING WATER, SERVE/TABLE WARE"
673,200005177907,"BATH, BATHROOM AIDS, COOKWARE METAL, EGG, GLUCOSE & ENERGY, KITCHEN, MELAMINE WARE, MEN'S INNERWEAR, OTHER RTD"
674,200005179136,"ALLNCE & MISC INCOME, BED, FROZEN NON VEG, KIDS BOYS BWEAR, KITCHEN, LAB, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, SERVE/TABLE WARE"
675,200005179686,"CERAMIC WARE, FROZEN NON VEG, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KITCHEN, LAB, MEN'S INNERWEAR, PACKD DRINKING WATER, POULTRY"
676,200005206704,"BED, CERAMIC WARE, FURNISHING, KITCHEN APPLIANCES, OTC FOOD, PACKD DRINKING WATER, STATIONERY, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
677,200005228007,"CERAMIC WARE, FROZEN, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, MEN'S BOTTOMWEAR, SERVE/TABLE WARE"
678,200005232930,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, FURNISHING, INDIAN WEAR TOPS, PACKD DRINKING WATER, SERVE/TABLE WARE, SHOE CARE, SYRUPS & CONCENTRATE"
679,200005233124,"BATH, CERAMIC WARE, EGG, ELECTRICAL EQUIPMENT, MELAMINE WARE, MEN'S BOTTOMWEAR, READY TO EAT, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
680,200005234479,"BATH, COLOUR COSMETICS, KITCHEN, LAB, PACKD DRINKING WATER, READY TO EAT, SHOE CARE, STATIONERY, TOOLS AND CAR CARE"
681,200005235706,"BATH, COOKWARE METAL, ELECTRICAL EQUIPMENT, FASHION CONC, FOOT WEAR CONC, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, SHOE CARE, TEA BAGS"
682,200005240373,"COLOUR COSMETICS, FROZEN, FURNISHING, INDIAN WEAR TOPS, MEN'S BOTTOMWEAR, OTHER RTD, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
683,200005262171,"ALLNCE & MISC INCOME, BATHROOM AIDS, GLUCOSE & ENERGY, KITCHEN, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, SPORT, SYRUPS & CONCENTRATE"
684,200005272178,"BATH, BED, FROZEN NON VEG, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KITCHEN, KITCHEN APPLIANCES, KITCHEN TOOLS METAL, MELAMINE WARE"
685,200005272512,"BATHROOM AIDS, COLOUR COSMETICS, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, MEN'S INNERWEAR, OTHER RTD, SPORT, SYRUPS & CONCENTRATE"
686,200005279755,"ALLNCE & MISC INCOME, BATHROOM AIDS, CERAMIC WARE, COLOUR COSMETICS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, OTHER RTD, READY TO EAT"
687,200005280742,"BATH, CERAMIC WARE, COOKWARE METAL, FROZEN VEG, KITCHEN APPLIANCES, MILK FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, TOOLS AND CAR CARE"
688,200005502583,"COLOUR COSMETICS, COOKWARE METAL, FASHION CONC, MELAMINE WARE, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, PACKD DRINKING WATER, SYRUPS & CONCENTRATE"
689,200005505571,"EGG, FASHION CONC, GLASS WARE, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE, SPORT, SYRUPS & CONCENTRATE"
690,200005507746,"BATHROOM AIDS, CERAMIC WARE, ELECTRICAL EQUIPMENT, GLASS WARE, INDIAN WEAR TOPS, KITCHEN, KITCHEN TOOLS METAL, MEAT, MEN'S INNERWEAR"
691,200005531549,"COOKWARE METAL, FROZEN, FROZEN NON VEG, FROZEN VEG, KITCHEN APPLIANCES, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD, PICKLE/CHUTNEY"
692,200005531682,"FROZEN, FROZEN NON VEG, FROZEN VEG, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KITCHEN, MEN'S INNERWEAR, SHOE CARE, SYRUPS & CONCENTRATE"
693,200005532061,"BED, FROZEN NON VEG, GLASS WARE, KIDS BOYS BWEAR, KITCHEN, LAB, MEN'S INNERWEAR, SERVE/TABLE WARE, SPORT"
694,200005532256,"BROWN SPIRITS, FASHION CONC, GIFT CARD & VOUCHERS, KITCHEN APPLIANCES, MELAMINE WARE, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, SYRUPS & CONCENTRATE"
695,200005532292,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE"
696,200005532566,"FASHION CONC, FROZEN, FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, KITCHEN, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE"
697,200005532900,"BATH, BED, COLOUR COSMETICS, FROZEN NON VEG, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, LAB, SHOE CARE"
698,200005533097,"BED, BROWN SPIRITS, CERAMIC WARE, FROZEN NON VEG, GLUCOSE & ENERGY, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE"
699,200005534227,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, GIFT CARD & VOUCHERS, MEN'S TOPWEAR, MILK FOOD, SERVE/TABLE WARE, SPORT, SYRUPS & CONCENTRATE"
700,200005534388,"CERAMIC WARE, FROZEN NON VEG, GIFT CARD & VOUCHERS, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MEN'S TOPWEAR, MILK FOOD, PACKD DRINKING WATER, SERVE/TABLE WARE"
701,200005534476,"BATHROOM AIDS, BED, FASHION CONC, KITCHEN APPLIANCES, MELAMINE WARE, OTHER RTD, SPORT, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
702,200005534670,"COOKWARE METAL, FURNISHING, GIFT CARD & VOUCHERS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S TOPWEAR, MILK FOOD, OTHER RTD, PICKLE/CHUTNEY"
703,200005535101,"FASHION CONC, FROZEN NON VEG, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, SERVE/TABLE WARE, TEA BAGS"
704,200005535235,"BED, FROZEN NON VEG, FURNISHING, GLASS WARE, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, READY TO EAT"
705,200005535280,"BATH, CERAMIC WARE, GIFT CARD & VOUCHERS, LAB, MILK FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT, SERVE/TABLE WARE"
706,200005535697,"BATH, CERAMIC WARE, DISINFECTANT AND MUL, FISH, FROZEN NON VEG, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, MEN'S INNERWEAR"
707,200005535873,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, FURNISHING, KID'S BOYS TOP WEAR, KITCHEN, MILK FOOD, PACKD DRINKING WATER, SERVE/TABLE WARE"
708,200005537598,"BROWN SPIRITS, FURNISHING, GIFT CARD & VOUCHERS, GLASS WARE, INDIAN WEAR TOPS, KIDS BOYS BWEAR, MEN'S INNERWEAR, READY TO EAT, SPORT"
709,200005537686,"BED, CERAMIC WARE, FASHION CONC, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, OTC FOOD, PACKD DRINKING WATER, READY TO EAT, SYRUPS & CONCENTRATE"
710,200005538302,"BATHROOM AIDS, FROZEN, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN APPLIANCES, LAB, MEN'S TOPWEAR, OTC FOOD"
711,200005539019,"CERAMIC WARE, COOKWARE METAL, FASHION CONC, FURNISHING, GIFT CARD & VOUCHERS, KID'S BOYS TOP WEAR, MEN'S TOPWEAR, MILK FOOD, PACKD DRINKING WATER"
712,200005539213,"BATHROOM AIDS, BED, COOKWARE METAL, FASHION CONC, FROZEN NON VEG, KIDS BOYS BWEAR, KITCHEN APPLIANCES, LAB, OTHER RTD"
713,200005540282,"BED, FASHION CONC, FROZEN NON VEG, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, OTHER RTD, READY TO EAT"
714,200005540334,"BATH, EGG, FASHION CONC, GLASS WARE, KITCHEN, MEN'S INNERWEAR, OTHER RTD, READY TO EAT, SPORT"
715,200005540529,"BATH, DISINFECTANT AND MUL, EGG, ELECTRICAL EQUIPMENT, KITCHEN, LAB, READY TO EAT, SHOE CARE, SOUP"
716,200005540705,"BED, CERAMIC WARE, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MELAMINE WARE, MEN'S TOPWEAR, SERVE/TABLE WARE"
717,200005542633,"BATH, COLOUR COSMETICS, FASHION CONC, GLASS WARE, GLUCOSE & ENERGY, KITCHEN, MEN'S INNERWEAR, SHOE CARE, SPORT"
718,200005559624,"BROWN SPIRITS, FURNISHING, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, LAB, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE"
719,200005741678,"FROZEN NON VEG, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, MEN'S INNERWEAR, SERVE/TABLE WARE, SPORT, TEA BAGS"
720,200005742394,"BATH, CERAMIC WARE, COOKWARE METAL, FASHION CONC, FROZEN NON VEG, FURNISHING, GLASS WARE, MILK FOOD, PACKD DRINKING WATER"
721,200005742808,"BATH, CERAMIC WARE, FURNISHING, GIFT CARD & VOUCHERS, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, TOOLS AND CAR CARE"
722,200005743108,"BATH, BROWN SPIRITS, CERAMIC WARE, FROZEN NON VEG, FURNISHING, GLASS WARE, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, PACKD DRINKING WATER"
723,200005744134,"BROWN SPIRITS, CERAMIC WARE, FURNISHING, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE"
724,200005744648,"BATHROOM AIDS, COLOUR COSMETICS, DISINFECTANT AND MUL, GLUCOSE & ENERGY, KITCHEN APPLIANCES, LAB, MEN'S INNERWEAR, MILK FOOD, OTHER RTD"
725,200005747742,"ALLNCE & MISC INCOME, BATH, COOKWARE METAL, EGG, FASHION CONC, GIFT CARD & VOUCHERS, PICKLE/CHUTNEY, READY TO EAT, SHOE CARE"
726,200005747973,"BATH, BROWN SPIRITS, FROZEN NON VEG, KITCHEN, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, READY TO EAT, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
727,200005748158,"BATH, GLASS WARE, GLUCOSE & ENERGY, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, PICKLE/CHUTNEY, SPORT, TOOLS AND CAR CARE"
728,200005748398,"BATHROOM AIDS, BED, COOKWARE METAL, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, KITCHEN APPLIANCES, LAB, MEN'S TOPWEAR, PICKLE/CHUTNEY"
729,200005749236,"ALLNCE & MISC INCOME, CERAMIC WARE, COOKWARE METAL, GIFT CARD & VOUCHERS, GLUCOSE & ENERGY, MELAMINE WARE, MILK FOOD, PACKD DRINKING WATER, SPORT"
730,200005749333,"BATHROOM AIDS, FURNISHING, GIFT CARD & VOUCHERS, KITCHEN APPLIANCES, MEN'S INNERWEAR, OTHER RTD, PACKD DRINKING WATER, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
731,200005749421,"CERAMIC WARE, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KITCHEN, OTHER RTD, SERVE/TABLE WARE"
732,200005749449,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MEAT, MEN'S INNERWEAR, SERVE/TABLE WARE"
733,200005901322,"BED, CERAMIC WARE, FASHION CONC, FISH, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MELAMINE WARE, SYRUPS & CONCENTRATE"
734,200005901623,"BROWN SPIRITS, FASHION CONC, FURNISHING, GLASS WARE, INDIAN WEAR TOPS, KIDS BOYS BWEAR, MEN'S TOPWEAR, SERVE/TABLE WARE, SPORT"
735,200005902002,"COLOUR COSMETICS, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, MEN'S INNERWEAR, OTHER RTD"
736,200005902312,"CERAMIC WARE, COLOUR COSMETICS, FISH, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MEN'S INNERWEAR, SPORT, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
737,200005902835,"ALLNCE & MISC INCOME, BATH, FURNISHING, GIFT CARD & VOUCHERS, LAB, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE, TOOLS AND CAR CARE"
738,200005902844,"ALLNCE & MISC INCOME, BATH, BATHROOM AIDS, COOKWARE METAL, GIFT CARD & VOUCHERS, KITCHEN TOOLS METAL, MEN'S INNERWEAR, READY TO EAT, SHOE CARE"
739,200005902899,"DISINFECTANT AND MUL, FROZEN NON VEG, KIDS BOYS BWEAR, KITCHEN, LAB, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD, SERVE/TABLE WARE"
740,200005903038,"BATH, FASHION CONC, GIFT CARD & VOUCHERS, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MELAMINE WARE, MILK FOOD, SERVE/TABLE WARE"
741,200005903153,"CERAMIC WARE, FURNISHING, GLASS WARE, INDIAN WEAR TOPS, KIDS BOYS BWEAR, LAB, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE"
742,200005903551,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MELAMINE WARE, OTC FOOD, PICKLE/CHUTNEY"
743,200005903676,"BED, FROZEN NON VEG, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PICKLE/CHUTNEY, READY TO EAT, SERVE/TABLE WARE"
744,200005904392,"BROWN SPIRITS, FROZEN VEG, FURNISHING, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, READY TO EAT"
745,200005904657,"BATHROOM AIDS, BROWN SPIRITS, FASHION CONC, MEN'S BOTTOMWEAR, MEN'S INNERWEAR, MEN'S TOPWEAR, OTC FOOD, SPORT, SYRUPS & CONCENTRATE"
746,200005905416,"COOKWARE METAL, DISINFECTANT AND MUL, FISH, FROZEN NON VEG, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTC, SHOE CARE"
747,200005905513,"ELECTRICAL EQUIPMENT, FASHION CONC, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, SPORT, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
748,200005906026,"ALLNCE & MISC INCOME, BATH, COOKWARE METAL, FROZEN, OTC FOOD, PICKLE/CHUTNEY, SHOE CARE, SPORT, SYRUPS & CONCENTRATE"
749,200005907238,"ALLNCE & MISC INCOME, BED, FOOT WEAR CONC, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, LAB, MEN'S TOPWEAR, OTC, READY TO EAT"
750,200005907353,"BED, CERAMIC WARE, FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S INNERWEAR, SYRUPS & CONCENTRATE"
751,200005907812,"EGG, FROZEN NON VEG, INDIAN WEAR TOPS, KITCHEN, MEAT, MEN'S INNERWEAR, OTHER RTD, SERVE/TABLE WARE, SHOE CARE"
752,200005908015,"DESSERT, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MELAMINE WARE, OTHER RTD, SPORT, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
753,200005908413,"BED, COLOUR COSMETICS, FISH, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MELAMINE WARE, MEN'S TOPWEAR, OTC, PICKLE/CHUTNEY"
